"","study","reference","doi","contribution"
"1","ot_521","Burleigh, J. Gordon, Rebecca T. Kimball, Edward L. Braun. 2015. Building the avian tree of life using a large-scale, sparse supermatrix. Molecular Phylogenetics and Evolution 84: 53-63","http://dx.doi.org/10.1016/j.ympev.2014.12.003",46.7741935483871
"2","ot_809","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448","http://dx.doi.org/10.1038/nature11631",45.1612903225806
"3","ot_290","Selvatti, Alexandre Pedro, Luiz Pedreira Gonzaga, Claudia Augusta de Moraes Russo. 2015. A Paleogene origin for crown passerines and the diversification of the Oscines in the New World. Molecular Phylogenetics and Evolution 88: 1-15.","http://dx.doi.org/10.1016/j.ympev.2015.03.018",29.0322580645161
"4","ot_2013","Oliveros, C. H., Field, D. J., Ksepka, D. T., Barker, F. K., Aleixo, A., Andersen, M. J., … Faircloth, B. C. (2019). Earth history and the passerine superradiation. Proceedings of the National Academy of Sciences, 116(16), 7916–7925. doi:10.1073/pnas.1813206116","http://dx.doi.org/10.1073/pnas.1813206116",24.1935483870968
"5","ot_2312","Stiller, J., Feng, S., Chowdhury, AA. et al. Complexity of avian evolution revealed by family-level genomes. Nature (2024). https://doi.org/10.1038/s41586-024-07323-1","https://doi.org/10.1038/s41586-024-07323-1",22.5806451612903
"6","ot_2079","Kennedy, J. D., Marki, P. Z., Reeve, A. H., Blom, M. P. K., Prawiradilaga, D. M., Haryoko, T., Koane, B., Kamminga, P., Irestedt, M., Jønsson, K. A., & Sheard, C. (2022). Diversification and community assembly of the world’s largest tropical island. Global Ecology and Biogeography. Portico. https://doi.org/10.1111/geb.13484","http://dx.doi.org/10.1111/geb.13484",19.3548387096774
"7","ot_2158","McCullough, J. M., Oliveros, C. H., Benz, B. W., Zenil-Ferguson, R., Cracraft, J., Moyle, R. G., & Andersen, M. J. (2022). Wallacean and Melanesian Islands Promote Higher Rates of Diversification within the Global Passerine Radiation Corvides. Systematic Biology. https://doi.org/10.1093/sysbio/syac044
","http://dx.doi.org/10.1093/sysbio/syac044",17.3387096774194
"8","pg_2913","Price, Trevor D., Daniel M. Hooper, Caitlyn D. Buchanan, Ulf S. Johansson, D. Thomas Tietze, Per Alström, Urban Olsson, Mousumi Ghosh-Harihar, Farah Ishtiaq, Sandeep K. Gupta, Jochen Martens, Bettina Harr, Pratap Singh, Dhananjai Mohan. 2014. Niche filling slows the diversification of Himalayan songbirds. Nature 509: 222-225.","http://dx.doi.org/10.1038/nature13272",16.1290322580645
"9","ot_1043","Marki, Petter Z., Knud A. Jønsson, Martin Irestedt, Jacqueline M.T. Nguyen, Carsten Rahbek, Jon Fjeldså. 2017. Supermatrix phylogeny and biogeography of the Australasian Meliphagides radiation (Aves: Passeriformes). Molecular Phylogenetics and Evolution 107: 516-529","http://dx.doi.org/10.1016/j.ympev.2016.12.021",14.9193548387097
"10","ot_783","Moyle, Robert G., Carl H. Oliveros, Michael J. Andersen, Peter A. Hosner, Brett W. Benz, Joseph D. Manthey, Scott L. Travers, Rafe M. Brown, Brant C. Faircloth. 2016. Tectonic collision and uplift of Wallacea triggered the global songbird radiation. Nature Communications 7: 12709","http://dx.doi.org/10.1038/ncomms12709",14.5161290322581
"11","pg_2404","Barker, F. Keith, Alice Cibois, Peter Schikler, Julie Feinstein, Joel Cracraft. 2004. Phylogeny and diversification of the largest avian radiation. Proceedings of the National Academy of Sciences of the United States of America 101 (30): 11040-11045.","http://dx.doi.org/10.1073/pnas.0401892101",12.9032258064516
"12","ot_520","Jønsson, Knud Andreas, Pierre-Henri Fabre, Jonathan D. Kennedy, Ben G. Holt, Michael K. Borregaard, Carsten Rahbek, Jon Fjeldså. 2016. A supermatrix phylogeny of corvoid passerine birds (Aves: Corvides). Molecular Phylogenetics and Evolution 94: 87-94.","http://dx.doi.org/10.1016/j.ympev.2015.08.020",12.0967741935484
"13","ot_111","Alstrom, P., D. M. Hooper, Y. Liu, U. Olsson, D. Mohan, M. Gelang, H. Le Manh, J. Zhao, F. Lei, T. D. Price. 2014. Discovery of a relict lineage and monotypic family of passerine birds. Biology Letters 10 (3): 20131067-20131067.","http://dx.doi.org/10.1098/rsbl.2013.1067",10.4838709677419
"14","ot_2179","Cai, T., Cibois, A., Alström, P., Moyle, R. G., Kennedy, J. D., Shao, S., Zhang, R., Irestedt, M., Ericson, P. G. P., Gelang, M., Qu, Y., Lei, F., & Fjeldså, J. (2019). Near-complete phylogeny and taxonomic revision of the world’s babblers (Aves: Passeriformes). Molecular Phylogenetics and Evolution, 130, 346–356. https://doi.org/10.1016/j.ympev.2018.10.010","http://dx.doi.org/10.1016/j.ympev.2018.10.010",9.67741935483871
"15","ot_782","Beresford, P., F.K. Barker, P.G. Ryan, T.M. Crowe. 2005. African endemics span the tree of songbirds (Passeri): molecular systematics of several evolutionary 'enigmas'. Proceedings of the Royal Society B: Biological Sciences 272 (1565): 849-858","http://dx.doi.org/10.1098/rspb.2004.2997",9.2741935483871
"16","ot_531","Claramunt, Santiago, Joel Cracraft. 2015. A new time tree reveals Earth historys imprint on the evolution of modern birds. Science Advances 1 (11): e1501005-e1501005","http://dx.doi.org/10.1126/sciadv.1501005",7.66129032258065
"17","ot_2156","Andersen, M. J., McCullough, J. M., Friedman, N. R., Peterson, A. T., Moyle, R. G., Joseph, L., & Nyári, Á. S. (2019). Ultraconserved elements resolve genus-level relationships in a major Australasian bird radiation (Aves: Meliphagidae). Emu - Austral Ornithology, 119(3), 218–232. https://doi.org/10.1080/01584197.2019.1595662","http://dx.doi.org/10.1080/01584197.2019.1595662",6.45161290322581
"18","pg_2015","Odeen, A., Hastad O., & Alstrom P. 2011. Evolution of ultraviolet vision in the largest avian radiation - the passerines. BMC Evolutionary Biology 11 (313): 1-8.","http://dx.doi.org/10.1186/1471-2148-11-313",6.45161290322581
"19","ot_2146","Gibb, G. C., & Shepherd, L. D. (2022). Recent evolution of extreme sexual dimorphism in the huia (Heteralocha acutirostris; Callaeidae). Molecular Phylogenetics and Evolution, 175, 107575. https://doi.org/10.1016/j.ympev.2022.107575
","http://dx.doi.org/10.1016/j.ympev.2022.107575",5.24193548387097
"20","ot_757","Ericson, Per GP, Seraina Klopfstein, Martin Irestedt, Jacqueline MT Nguyen and Johan AA Nylander. 2014. Dating the diversification of the major lineages of Passeriformes (Aves). BMC Evolutionary Biology, 14(8).","http://dx.doi.org/10.1186/1471-2148-14-8",5.24193548387097
"21","ot_770","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.","http://dx.doi.org/10.1642/auk-14-110.1",5.24193548387097
"22","ot_2018","Kimball, R. T., Oliveros, C. H., Wang, N., White, N. D., Barker, F. K., Field, D. J., … Braun, E. L. (2019). A Phylogenomic Supertree of Birds. Diversity, 11(7), 109. doi:10.3390/d11070109","http://dx.doi.org/10.3390/d11070109",4.83870967741935
"23","ot_412","Barker, F.K. 2014. Mitogenomic data resolve basal relationships among passeriform and passeridan birds. Molecular Phylogenetics and Evolution 79: 313-324.","http://dx.doi.org/10.1016/j.ympev.2014.06.011",4.83870967741935
"24","ot_841","Simone Treplin, Romy Siegert, Christoph Bleidorn, Hazell Shokellu Thompson, Roger Fotso, Ralph Tiedemann, 2008, 'Molecular phylogeny of songbirds (Aves: Passeriformes) and the relative utility of common nuclear marker loci', Cladistics, vol. 24, no. 3, pp. 328-349","http://dx.doi.org/10.1111/j.1096-0031.2007.00178.x",4.83870967741935
"25","ot_854","Ulf S. Johansson, Jon Fjeldså, Rauri C.K. Bowie, 2008, 'Phylogenetic relationships within Passerida (Aves: Passeriformes): A review and a new molecular phylogeny based on three nuclear intron markers', Molecular Phylogenetics and Evolution, vol. 48, no. 3, pp. 858-876","http://dx.doi.org/10.1016/j.ympev.2008.05.029",4.43548387096774
"26","pg_1586","Moyle, R.G., Andersen M.J., Oliveros C., Steinheimer F.D., and Reddy S. 2012. Phylogeny and biogeography of the core babblers (Aves: Timaliidae). Systematic Biology 61 (4): 631-651.","http://dx.doi.org/10.1093/sysbio/sys027",4.43548387096774
"27","ot_2167","Zhao, M., Gordon Burleigh, J., Olsson, U., Alström, P., & Kimball, R. T. (2023). A near-complete and time-calibrated phylogeny of the Old World flycatchers, robins and chats (Aves, Muscicapidae). Molecular Phylogenetics and Evolution, 178, 107646. https://doi.org/10.1016/j.ympev.2022.107646","http://dx.doi.org/10.1016/j.ympev.2022.107646",3.62903225806452
"28","ot_532","Gibb, Gillian C., Ryan England, Gerrit Hartig, P.A. (Trish) McLenachan, Briar L. Taylor Smith, Bennet J. McComish, Alan Cooper, David Penny. 2015. New Zealand passerines help clarify the diversification of major songbird lineages during the Oligocene. Genome Biology and Evolution 7 (11): 2983-2995.","http://dx.doi.org/10.1093/gbe/evv196",3.62903225806452
"29","ot_1055","Reddy, Sushma, Rebecca T. Kimball, Akanksha Pandey, Peter A. Hosner, Michael J. Braun, Shannon J. Hackett, Kin-Lan Han, John Harshman, Christopher J. Huddleston, Sarah Kingston, Ben D. Marks, Kathleen J. Miglia, William S. Moore, Frederick H. Sheldon, Christopher C. Witt, Tamaki Yuri, Edward L. Braun. 2017. Why do phylogenomic data sets yield conflicting trees? Data type influences the avian tree of life more than taxon sampling. Systematic Biology","http://dx.doi.org/10.1093/sysbio/syx041",3.2258064516129
"30","ot_855","Martin Irestedt, Jérôme Fuchs, Knud A. Jønsson, Jan I. Ohlson, Eric Pasquet, Per G.P. Ericson, 2008, 'The systematic affinity of the enigmatic Lamprolia victoriae (Aves: Passeriformes)—An example of avian dispersal between New Guinea and Fiji over Miocene intermittent land bridges?', Molecular Phylogenetics and Evolution, vol. 48, no. 3, pp. 1218-1222","http://dx.doi.org/10.1016/j.ympev.2008.05.038",3.2258064516129
"31","pg_2591","Lovette, Irby J., Jorge L. Pérez-Emán, John P. Sullivan, Richard C. Banks, Isabella Fiorentino, Sergio Córdoba-Córdoba, María Echeverry-Galvis, F. Keith Barker, Kevin J. Burns, John Klicka, Scott M. Lanyon, Eldredge Bermingham. 2010. A comprehensive multilocus phylogeny for the wood-warblers and a revised classification of the Parulidae (Aves). Molecular Phylogenetics and Evolution 57 (2): 753-770.","http://dx.doi.org/10.1016/j.ympev.2010.07.018",3.2258064516129
"32","ot_500","Prum, Richard O., Jacob S. Berv, Alex Dornburg, Daniel J. Field, Jeffrey P. Townsend, Emily Moriarty Lemmon, Alan R. Lemmon. 2015. A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing. Nature 526, (7574): 569-573","http://dx.doi.org/10.1038/nature15697",2.82258064516129
"33","pg_2600","Johansson, Ulf S., Jan Ekman, Rauri C.K. Bowie, Peter Halvarsson, Jan I. Ohlson, Trevor D. Price, Per G.P. Ericson. 2013. A complete multilocus species phylogeny of the tits and chickadees (Aves: Paridae). Molecular Phylogenetics and Evolution 69 (3): 852-860.","http://dx.doi.org/10.1016/j.ympev.2013.06.019",2.82258064516129
"34","Taxonomic additions","Miller et al.","https://github.com/eliotmiller/addtaxa",2.82258064516129
"35","ot_1287","Per Alström, Frank E. Rheindt, Ruiying Zhang, Min Zhao, Jing Wang, Xiaojia Zhu, Chyi Yin Gwee, Yan Hao, Jan Ohlson, Chenxi Jia, Dewi M. Prawiradilaga, Per G.P. Ericson, Fumin Lei, Urban Olsson, 2018, 'Complete species-level phylogeny of the leaf warbler (Aves: Phylloscopidae) radiation', Molecular Phylogenetics and Evolution, vol. 126, pp. 141-152","http://dx.doi.org/10.1016/j.ympev.2018.03.031",2.41935483870968
"36","ot_2143","Päckert, M., Favre, A., Schnitzler, J., Martens, J., Sun, Y., Tietze, D. T., Hailer, F., Michalak, I., & Strutzenberger, P. (2020). “Into and Out of” the Qinghai‐Tibet Plateau and the Himalayas: Centers of origin and diversification across five clades of Eurasian montane and alpine passerine birds. Ecology and Evolution, 10(17), 9283–9300. Portico. https://doi.org/10.1002/ece3.6615","http://dx.doi.org/10.1002/ece3.6615",2.41935483870968
"37","ot_2307","Wu, S., Rheindt, F. E., Zhang, J., Wang, J., Zhang, L., Quan, C., Li, Z., Wang, M., Wu, F., Qu, Y., Edwards, S. V., Zhou, Z., & Liu, L. (2024). Genomes, fossils, and the concurrent rise of modern birds and flowering plants in the Late Cretaceous. Proceedings of the National Academy of Sciences, 121(8). https://doi.org/10.1073/pnas.2319696121
","http://dx.doi.org/10.1073/pnas.2319696121",2.41935483870968
"38","ot_2015","Harvey, M. G., Bravo, G. A., Claramunt, S., Cuervo, A. M., Derryberry, G. E., Battilana, J., … Derryberry, E. P. (2020). The evolution of a tropical biodiversity hotspot. Science, 370(6522), 1343–1348. doi:10.1126/science.aaz6970","http://dx.doi.org/10.1126/science.aaz6970",2.01612903225806
"39","ot_2019","eBird Taxonomy draft, 2021, 2023","https://ebird.org/science/use-ebird-data/the-ebird-taxonomy",2.01612903225806
"40","ot_2302","Nicolaï, M. P. J., Van Hecke, B., Rogalla, S., Debruyn, G., Bowie, R. C. K., Matzke, N. J., Hackett, S. J., D’Alba, L., & Shawkey, M. D. (2024). The evolution of multiple colour mechanisms is correlated with diversification in sunbirds (Nectariniidae). Systematic Biology. https://doi.org/10.1093/sysbio/syae006","http://dx.doi.org/10.1093/sysbio/syae006",1.61290322580645
"41","ot_749","Hooper, Daniel M., Urban Olsson, Per Alström. 2016. The Rusty-tailed Flycatcher (Muscicapa ruficauda; Aves: Muscicapidae) is a member of the genus Ficedula. Molecular Phylogenetics and Evolution 102: 56-61","http://dx.doi.org/10.1016/j.ympev.2016.05.036",1.61290322580645
"42","ot_1170","Shakya, Subir B., Frederick H. Sheldon. 2017. The phylogeny of the world's bulbuls (Pycnonotidae) inferred using a supermatrix approach. Ibis 159 (3): 498-509","http://dx.doi.org/10.1111/ibi.12464",1.20967741935484
"43","ot_2180","Oliveros, C. H., Andersen, M. J., & Moyle, R. G. (2021). A phylogeny of white-eyes based on ultraconserved elements. Molecular Phylogenetics and Evolution, 164, 107273. https://doi.org/10.1016/j.ympev.2021.107273
","http://dx.doi.org/10.1016/j.ympev.2021.107273",1.20967741935484
"44","ot_2231","Jha, A., Seneviratne, S., Prayag, H. S., & Vasudevan, K. (2021). Phylogeny identifies multiple colonisation events and Miocene aridification as drivers of South Asian bulbul (Passeriformes: Pycnonotidae) diversification. Organisms Diversity & Evolution, 21(4), 783–794. https://doi.org/10.1007/s13127-021-00506-y","http://dx.doi.org/10.1007/s13127-021-00506-y",1.20967741935484
"45","ot_768","Slager, David L., C.J. Battey, Robert W. Bryson, Gary Voelker, John Klicka. 2014. A multilocus phylogeny of a major New World avian radiation: The Vireonidae. Molecular Phylogenetics and Evolution 80: 95-104","http://dx.doi.org/10.1016/j.ympev.2014.07.021",1.20967741935484
"46","ot_836","Robert G. Moyle, Joel Cracraft, Maklarin Lakim, Jamili Nais, Frederick H. Sheldon, 2006, 'Reconsideration of the phylogenetic relationships of the enigmatic Bornean Bristlehead (Pityriasis gymnocephala)', Molecular Phylogenetics and Evolution, vol. 39, no. 3, pp. 893-898","http://dx.doi.org/10.1016/j.ympev.2006.01.024",1.20967741935484
"47","ot_174","Nyári, Árpád S., Brett W. Benz, Knud A. Jønsson, Jon Fjeldså, Robert G. Moyle. 2009. Phylogenetic relationships of fantails (Aves: Rhipiduridae). Zoologica Scripta 38 (6): 553-561.","http://dx.doi.org/10.1111/j.1463-6409.2009.00397.x",0.806451612903226
"48","ot_2222","Olsson, U., & Alström, P. (2020). A comprehensive phylogeny and taxonomic evaluation of the waxbills (Aves: Estrildidae). Molecular Phylogenetics and Evolution, 146, 106757. https://doi.org/10.1016/j.ympev.2020.106757","http://dx.doi.org/10.1016/j.ympev.2020.106757",0.806451612903226
"49","ot_2386","Fuchs, J., Pasquet, E., Stuart, B. L., Woxvold, I. A., Duckworth, J. W., & Bowie, R. C. K. (2018). Phylogenetic affinities of the enigmatic Bare‐faced Bulbul Pycnonotus hualon with description of a new genus. Ibis, 160(3), 659–665. Portico. https://doi.org/10.1111/ibi.12580","https://doi.org/10.1111/ibi.12580",0.806451612903226
"50","ot_832","Robert G. Moyle, Ben D. Marks, 2006, 'Phylogenetic relationships of the bulbuls (Aves: Pycnonotidae) based on mitochondrial and nuclear DNA sequence data', Molecular Phylogenetics and Evolution, vol. 40, no. 3, pp. 687-695","http://dx.doi.org/10.1016/j.ympev.2006.04.015",0.806451612903226
"51","ot_874","Zuccon, Dario, Alice Cibois, Eric Pasquet, Per G.P. Ericson. 2006. Nuclear and mitochondrial sequence data reveal the major lineages of starlings, mynas and related taxa. Molecular Phylogenetics and Evolution 41 (2): 333-344","http://dx.doi.org/10.1016/j.ympev.2006.05.007",0.806451612903226
"52","pg_1966","Lee, J.Y., Joseph L., & Edwards S. 2011. A species tree for the Australo-Papuan fairy-wrens and allies (Aves: Maluridae). Systematic Biology 61 (2): 253-271.","http://dx.doi.org/10.1093/sysbio/syr101",0.806451612903226
"53","pg_2575","Barker, F. K., K. J. Burns, J. Klicka, S. M. Lanyon, I. J. Lovette. 2013. Going to extremes: contrasting rates of diversification in a recent radiation of New World passerine birds. Systematic Biology 62 (2): 298-320.","http://dx.doi.org/10.1093/sysbio/sys094",0.806451612903226
"54","pg_2845","Pasquet,  Eric, F. Keith Barker, Jochen Martens, Annie Tillier, Corinne Cruaud, Alice Cibois. 2014.  Evolution within the nuthatches (Sittidae: Aves, Passeriformes): molecular phylogeny, biogeography, and ecological perspectives. Journal of Ornithology 155 (3):755-765.","http://dx.doi.org/10.1007/s10336-014-1063-7",0.806451612903226
"55","ot_172","Päckert, Martin, Jochen Martens, Yue-Hua Sun, Lucia Liu Severinghaus, Alexander A. Nazarenko, Ji Ting, Till Töpfer, Dieter Thomas Tietze. 2011. Horizontal and elevational phylogeographic patterns of Himalayan and Southeast Asian forest passerines (Aves: Passeriformes). Journal of Biogeography 39 (3): 556-573.","http://dx.doi.org/10.1111/j.1365-2699.2011.02606.x",0.403225806451613
"56","ot_173","Harris, R.B., M.D. Carling, I.J. Lovette. 2014. The influence of sampling design on species tree inference: a new relationship for the New World chickadees (Aves: Poecile). Evolution 68 (2): 501-513.","http://dx.doi.org/10.1111/evo.12280",0.403225806451613
"57","ot_2080","Imfeld, Barker, Brumfield, Mitochondrial genomes and thousands of ultraconserved elements resolve the taxonomy and historical biogeography of the Euphonia and Chlorophonia finches (Passeriformes: Fringillidae), The Auk, Volume 137, Issue 3, 1 July 2020, ukaa016, ","https://doi.org/10.1093/auk/ukaa016",0.403225806451613
"58","ot_2155","McCullough, J. M., Joseph, L., Moyle, R. G., & Andersen, M. J. (2019). Ultraconserved elements put the final nail in the coffin of traditional use of the genus            Meliphaga            (Aves: Meliphagidae). Zoologica Scripta, 48(4), 411–418. Portico. https://doi.org/10.1111/zsc.12350","http://dx.doi.org/10.1111/zsc.12350",0.403225806451613
"59","ot_2159","Batista, R., Olsson, U., Andermann, T., Aleixo, A., Ribas, C. C., & Antonelli, A. (2020). Phylogenomics and biogeography of the world’s thrushes (Aves,            Turdus            ): new evidence for a more parsimonious evolutionary history. Proceedings of the Royal Society B: Biological Sciences, 287(1919), 20192400. https://doi.org/10.1098/rspb.2019.2400","http://dx.doi.org/10.1098/rspb.2019.2400",0.403225806451613
"60","ot_2182","Alström, P., Höhna, S., Gelang, M., Ericson, P. G., & Olsson, U. (2011). Non-monophyly and intricate morphological evolution within the avian family Cettiidae revealed by multilocus analysis of a taxonomically densely sampled dataset. BMC Evolutionary Biology, 11(1), 352. https://doi.org/10.1186/1471-2148-11-352","http://dx.doi.org/10.1186/1471-2148-11-352",0.403225806451613
"61","ot_2234","Shakya, S. B., Irham, M., Brady, M. L., Haryoko, T., Fitriana, Y. S., Johnson, O., Rahman, M. A., Robi, N. J., Moyle, R. G., Prawiradilaga, D. M., & Sheldon, F. H. (2020). Observations on the relationships of some Sundaic passerine taxa (Aves: Passeriformes) previously unavailable for molecular phylogenetic study. Journal of Ornithology, 161(3), 651–664. https://doi.org/10.1007/s10336-020-01766-9","http://dx.doi.org/10.1007/s10336-020-01766-9",0.403225806451613
"62","ot_2385","Vázquez-López, M., Ramírez-Barrera, S. M., Terrones-Ramírez, A. K., Robles-Bello, S. M., Nieto-Montes de Oca, A., Ruegg, K., & Hernández-Baños, B. E. (2024). ﻿Biogeographic factors contributing to the diversification of Euphoniinae (Aves, Passeriformes, Fringillidae): a phylogenetic and ancestral areas analysis. ZooKeys, 1188, 169–195. https://doi.org/10.3897/zookeys.1188.107047","https://doi.org/10.3897/zookeys.1188.107047",0.403225806451613
"63","ot_843","Rheindt, Frank E., Janette A. Norman, Les Christidis. 2008. Phylogenetic relationships of tyrant-flycatchers (Aves: Tyrannidae), with an emphasis on the elaeniine assemblage. Molecular Phylogenetics and Evolution 46 (1): 88-101","http://dx.doi.org/10.1016/j.ympev.2007.09.011",0.403225806451613
"64","ot_847","A. Manegold, 2008, 'Composition and phylogenetic affinities of vangas (Vangidae, Oscines, Passeriformes) based on morphological characters', Journal of Zoological Systematics and Evolutionary Research, vol. 46, no. 3, pp. 267-277","http://dx.doi.org/10.1111/j.1439-0469.2008.00458.x",0.403225806451613
"65","pg_1854","Mann, Nigel I., F. Keith Barker, Jeff A. Graves, Kimberly A. Dingess-Mann, Peter J.B. Slater. 2006. Molecular data delineate four genera of “Thryothorus” wrens. Molecular Phylogenetics and Evolution 40 (3): 750-759","http://dx.doi.org/10.1016/j.ympev.2006.04.014",0.403225806451613
"66","pg_2692","Zuccon, Dario, Robert Prŷs-Jones, Pamela C. Rasmussen, and Per G.P. Ericson. 2012. The phylogenetic relationships and generic limits of finches (Fringillidae). Molecular Phylogenetics and Evolution 62 (2): 581-596.","http://dx.doi.org/10.1016/j.ympev.2011.10.002",0.403225806451613
"67","pg_2707","Powell, Alexis F.L.A., F. Keith Barker, Scott M. Lanyon, Kevin J. Burns, John Klicka, Irby J. Lovette. 2014. A comprehensive species-level molecular phylogeny of the New World blackbirds (Icteridae). Molecular Phylogenetics and Evolution 71: 94-112.","http://dx.doi.org/10.1016/j.ympev.2013.11.009",0.403225806451613
"68","pg_2858","Nylander, Johan A. A., Urban Olsson, Per Alström, Isabel Sanmartín. 2008. Accounting for phylogenetic uncertainty in biogeography: a Bayesian approach to dispersal-vicariance analysis of the thrushes (Aves: Turdus). Systematic Biology 57 (2): 257-268.","http://dx.doi.org/10.1080/10635150802044003",0.403225806451613
