BirdTree;BirdLife;eBird
Abroscopus superciliaris;Abroscopus superciliaris;Abroscopus superciliaris
Acanthagenys rufogularis;Acanthagenys rufogularis;Acanthagenys rufogularis
Acanthiza apicalis;Acanthiza apicalis;Acanthiza apicalis
Acanthiza chrysorrhoa;Acanthiza chrysorrhoa;Acanthiza chrysorrhoa
Acanthiza ewingii;Acanthiza ewingii;Acanthiza ewingii
Acanthiza inornata;Acanthiza inornata;Acanthiza inornata
Acanthiza lineata;Acanthiza lineata;Acanthiza lineata
Acanthiza nana;Acanthiza nana;Acanthiza nana
Acanthiza pusilla;Acanthiza pusilla;Acanthiza pusilla
Acanthiza reguloides;Acanthiza reguloides;Acanthiza reguloides
Acanthiza robustirostris;Acanthiza robustirostris;Acanthiza robustirostris
Acanthiza uropygialis;Acanthiza uropygialis;Acanthiza uropygialis
Acanthorhynchus tenuirostris;Acanthorhynchus tenuirostris;Acanthorhynchus tenuirostris
Acridotheres fuscus;Acridotheres fuscus;Acridotheres fuscus
Actinodura morrisoniana;Sibia morrisoniana;Actinodura morrisoniana
Aegithalos concinnus;Aegithalos annamensis;Aegithalos concinnus
Aegithina tiphia;Aegithina tiphia;Aegithina tiphia
Aethopyga christinae;Aethopyga christinae;Aethopyga christinae
Alcippe manipurensis;Fulvetta manipurensis;Fulvetta manipurensis
Anthochaera carunculata;Anthochaera carunculata;Anthochaera carunculata
Aphelocephala leucopsis;Aphelocephala leucopsis;Aphelocephala leucopsis
Arses kaupi;Arses kaupi;Arses kaupi
Artamus cyanopterus;Artamus cyanopterus;Artamus cyanopterus
Artamus superciliosus;Artamus superciliosus;Artamus superciliosus
Baeolophus inornatus;Baeolophus inornatus;Baeolophus inornatus
Baeolophus wollweberi;Baeolophus wollweberi;Baeolophus wollweberi
Catharus fuscescens;Catharus fuscescens;Catharus fuscescens
Catharus guttatus;Catharus guttatus;Catharus guttatus
Catharus ustulatus;Catharus swainsoni;Catharus ustulatus
Certhia familiaris;Certhia familiaris;Certhia familiaris
Cettia acanthizoides;Horornis acanthizoides;Horornis acanthizoides
Chloropsis cochinchinensis;Chloropsis cochinchinensis;Chloropsis cochinchinensis
Chthonicola sagittatus;Pyrrholaemus sagittatus;Pyrrholaemus sagittatus
Climacteris erythrops;Climacteris erythrops;Climacteris erythrops
Climacteris picumnus;Climacteris picumnus;Climacteris picumnus
Climacteris rufus;Climacteris rufus;Climacteris rufus
Coccothraustes coccothraustes;Coccothraustes coccothraustes;Coccothraustes coccothraustes
Colluricincla boweri;Colluricincla boweri;Colluricincla boweri
Colluricincla harmonica;Colluricincla harmonica;Colluricincla harmonica
Conopophila albogularis;Conopophila albogularis;Conopophila albogularis
Coracina novaehollandiae;Coracina novaehollandiae;Coracina novaehollandiae
Corcorax melanorhamphos;Corcorax melanorhamphos;Corcorax melanorhamphos
Cormobates leucophaea;Cormobates leucophaea;Cormobates leucophaea
Corvus macrorhynchos;Corvus macrorhynchos;Corvus macrorhynchos
Culicicapa ceylonensis;Culicicapa ceylonensis;Culicicapa ceylonensis
Daphoenositta chrysoptera;Daphoenositta chrysoptera;Daphoenositta chrysoptera
Dendroica caerulescens;Setophaga caerulescens;Setophaga caerulescens
Dendroica fusca;Setophaga fusca;Setophaga fusca
Dendroica virens;Setophaga virens;Setophaga virens
Dicaeum concolor;Dicaeum concolor;Dicaeum concolor
Dicaeum erythrorhynchos;Dicaeum erythrorhynchos;Dicaeum erythrorhynchos
Dicaeum hirundinaceum;Dicaeum hirundinaceum;Dicaeum hirundinaceum
Dicrurus caerulescens;Dicrurus caerulescens;Dicrurus caerulescens
Dicrurus leucophaeus;Dicrurus leucophaeus;Dicrurus leucophaeus
Dicrurus macrocercus;Dicrurus macrocercus;Dicrurus macrocercus
Dumetia hyperythra;Dumetia hyperythra;Dumetia hyperythra
Empidonax minimus;Empidonax minimus;Empidonax minimus
Empidonax oberholseri;Empidonax oberholseri;Empidonax oberholseri
Entomyzon cyanotis;Entomyzon albipennis;Entomyzon cyanotis
Eopsaltria australis;Eopsaltria australis;Eopsaltria australis
Eopsaltria griseogularis;Eopsaltria griseogularis;Eopsaltria griseogularis
Epthianura tricolor;Epthianura tricolor;Epthianura tricolor
Erithacus rubecula;Erithacus rubecula;Erithacus rubecula
Eumyias albicaudatus;Eumyias albicaudatus;Eumyias albicaudatus
Falcunculus frontatus;Falcunculus frontatus;Falcunculus frontatus
Ficedula albicollis;Ficedula albicollis;Ficedula albicollis
Ficedula nigrorufa;Ficedula nigrorufa;Ficedula nigrorufa
Fringilla coelebs;Fringilla coelebs;Fringilla coelebs
Garrulax leucolophus;Garrulax leucolophus;Garrulax leucolophus
Garrulax morrisonianus;Trochalopteron morrisonianum;Trochalopteron morrisonianum
Gerygone chloronota;Gerygone chloronota;Gerygone chloronota
Gerygone fusca;Gerygone fusca;Gerygone fusca
Gerygone levigaster;Gerygone levigaster;Gerygone levigaster
Gerygone magnirostris;Gerygone magnirostris;Gerygone magnirostris
Gerygone mouki;Gerygone mouki;Gerygone mouki
Gerygone olivacea;Gerygone olivacea;Gerygone olivacea
Gerygone palpebrosa;Gerygone palpebrosa;Gerygone palpebrosa
Gymnorhina tibicen;Gymnorhina tibicen;Gymnorhina tibicen
Heteromyias albispecularis;Heteromyias albispecularis;Heteromyias albispecularis
Hirundo daurica;Cecropis daurica;Cecropis badia
Hylocichla mustelina;Hylocichla mustelina;Hylocichla mustelina
Hypsipetes leucocephalus;Hypsipetes ganeesa;Hypsipetes ganeesa
Icterus bullockii;Icterus bullockiorum;Icterus bullockii
Icterus parisorum;Icterus parisorum;Icterus parisorum
Iole indica;Acritillas indica;Iole indica
Junco hyemalis;Junco hyemalis;Junco hyemalis
Lalage leucomela;Lalage conjuncta;Lalage conjuncta
Lichenostomus chrysops;Caligavis chrysops;Caligavis chrysops
Lichenostomus frenatus;Bolemoreus frenatus;Bolemoreus frenatus
Lichenostomus fuscus;Ptilotula fusca;Ptilotula fusca
Lichenostomus leucotis;Nesoptilotis leucotis;Nesoptilotis leucotis
Lichenostomus melanops;Lichenostomus melanops;Lichenostomus melanops
Lichenostomus ornatus;Ptilotula ornata;Ptilotula ornata
Lichenostomus penicillatus;Ptilotula penicillata;Ptilotula penicillata
Lichenostomus unicolor;Stomiopera unicolor;Stomiopera unicolor
Lichenostomus virescens;Gavicalis virescens;Gavicalis virescens
Lichmera indistincta;Lichmera indistincta;Lichmera indistincta
Malurus cyaneus;Malurus cyaneus;Malurus cyaneus
Malurus pulcherrimus;Malurus pulcherrimus;Malurus pulcherrimus
Malurus splendens;Malurus splendens;Malurus splendens
Manorina melanocephala;Manorina melanocephala;Manorina melanocephala
Melanodryas cucullata;Melanodryas cucullata;Melanodryas cucullata
Melanodryas vittata;Melanodryas vittata;Melanodryas vittata
Meliphaga gracilis;Microptilotis cinereifrons;Microptilotis cinereifrons
Meliphaga lewinii;Meliphaga lewinii;Meliphaga lewinii
Melithreptus albogularis;Melithreptus albogularis;Melithreptus albogularis
Melithreptus brevirostris;Melithreptus brevirostris;Melithreptus brevirostris
Melithreptus lunatus;Melithreptus chloropsis;Melithreptus chloropsis
Melithreptus validirostris;Melithreptus validirostris;Melithreptus validirostris
Menura novaehollandiae;Menura novaehollandiae;Menura novaehollandiae
Microeca fascinans;Microeca fascinans;Microeca fascinans
Microeca flavigaster;Microeca flavigaster;Microeca flavigaster
Minla cyanouroptera;Siva cyanouroptera;Actinodura cyanouroptera
Minla ignotincta;Minla ignotincta;Minla ignotincta
Monarcha leucotis;Carterornis leucotis;Carterornis leucotis
Monarcha melanopsis;Monarcha melanopsis;Monarcha melanopsis
Monarcha trivirgatus;Symposiachrus trivirgatus;Symposiachrus trivirgatus
Muscicapa dauurica;Muscicapa dauurica;Muscicapa dauurica
Myiagra alecto;Myiagra alecto;Myiagra alecto
Myiagra cyanoleuca;Myiagra cyanoleuca;Myiagra cyanoleuca
Myiagra inquieta;Myiagra inquieta;Myiagra inquieta
Myiagra rubecula;Myiagra rubecula;Myiagra rubecula
Myiagra ruficollis;Myiagra ruficollis;Myiagra ruficollis
Myiarchus cinerascens;Myiarchus cinerascens;Myiarchus cinerascens
Myiomela major;Sholicola major;Sholicola major
Myzomela erythrocephala;Myzomela erythrocephala;Myzomela erythrocephala
Myzomela obscura;Myzomela obscura;Myzomela obscura
Myzomela sanguinolenta;Myzomela sanguinolenta;Myzomela sanguinolenta
Nectarinia asiatica;Cinnyris asiaticus;Cinnyris asiaticus
Nectarinia lotenia;Cinnyris lotenius;Cinnyris lotenius
Nectarinia minima;Leptocoma minima;Leptocoma minima
Nectarinia zeylonica;Leptocoma zeylonica;Leptocoma zeylonica
Neochmia temporalis;Neochmia temporalis;Neochmia temporalis
Oriolus xanthornus;Oriolus xanthornus;Oriolus xanthornus
Orthonyx spaldingii;Orthonyx spaldingii;Orthonyx spaldingii
Orthotomus sutorius;Orthotomus sutorius;Orthotomus sutorius
Pachycephala pectoralis;Pachycephala feminina;Pachycephala feminina
Pachycephala rufiventris;Pachycephala rufiventris;Pachycephala rufiventris
Pachycephala simplex;Pachycephala griseiceps;Pachycephala simplex
Paradoxornis verreauxi;Suthora verreauxi;Suthora verreauxi
Pardalotus punctatus;Pardalotus punctatus;Pardalotus punctatus
Pardalotus striatus;Pardalotus striatus;Pardalotus striatus
Parus ater;Periparus ater;Periparus ater
Parus atricapillus;Poecile atricapillus;Poecile atricapillus
Parus caeruleus;Cyanistes caeruleus;Cyanistes caeruleus
Parus major;Parus major;Parus cinereus
Parus monticolus;Parus monticolus;Parus monticolus
Parus palustris;Poecile palustris;Poecile palustris
Parus spilonotus;Machlolophus spilonotus;Machlolophus spilonotus
Parus xanthogenys;Machlolophus xanthogenys;Machlolophus aplonotus
Pericrocotus flammeus;Pericrocotus flammeus;Pericrocotus flammeus
Petroica goodenovii;Petroica goodenovii;Petroica goodenovii
Petroica multicolor;Petroica boodang;Petroica boodang
Petroica phoenicea;Petroica phoenicea;Petroica phoenicea
Petroica rosea;Petroica rosea;Petroica rosea
Pheucticus ludovicianus;Pheucticus ludovicianus;Pheucticus ludovicianus
Philemon citreogularis;Philemon citreogularis;Philemon citreogularis
Philemon corniculatus;Philemon corniculatus;Philemon corniculatus
Phylidonyris novaehollandiae;Phylidonyris novaehollandiae;Phylidonyris novaehollandiae
Phylidonyris pyrrhopterus;Phylidonyris pyrrhopterus;Phylidonyris pyrrhopterus
Phylloscopus affinis;Phylloscopus affinis;Phylloscopus affinis
Phylloscopus collybita;Phylloscopus collybita;Phylloscopus collybita
Phylloscopus inornatus;Phylloscopus inornatus;Phylloscopus inornatus
Phylloscopus magnirostris;Phylloscopus magnirostris;Phylloscopus magnirostris
Phylloscopus proregulus;Phylloscopus proregulus;Phylloscopus proregulus
Phylloscopus reguloides;Phylloscopus reguloides;Phylloscopus reguloides
Phylloscopus sibilatrix;Phylloscopus sibilatrix;Phylloscopus sibilatrix
Phylloscopus trochiloides;Phylloscopus plumbeitarsus;Phylloscopus plumbeitarsus
Piranga olivacea;Piranga olivacea;Piranga olivacea
Pitta versicolor;Pitta versicolor;Pitta versicolor
Polioptila caerulea;Polioptila caerulea;Polioptila caerulea
Pomatorhinus horsfieldii;Pomatorhinus horsfieldii;Pomatorhinus horsfieldii
Pomatostomus superciliosus;Pomatostomus superciliosus;Pomatostomus superciliosus
Psaltriparus minimus;Psaltriparus minimus;Psaltriparus minimus
Psophodes olivaceus;Psophodes olivaceus;Psophodes olivaceus
Ptiloris victoriae;Lophorina victoriae;Ptiloris victoriae
Pycnonotus cafer;Pycnonotus cafer;Pycnonotus cafer
Pycnonotus jocosus;Pycnonotus jocosus;Pycnonotus jocosus
Pycnonotus luteolus;Pycnonotus luteolus;Pycnonotus luteolus
Pyrocephalus rubinus;Pyrocephalus dubius;Pyrocephalus rubinus
Rhipidura fuliginosa;Rhipidura albiscapa;Rhipidura albiscapa
Rhipidura leucophrys;Rhipidura leucophrys;Rhipidura leucophrys
Rhipidura rufifrons;Rhipidura dryas;Rhipidura dryas
Rhipidura rufiventris;Rhipidura assimilis;Rhipidura rufiventris
Seiurus aurocapilla;Seiurus aurocapilla;Seiurus aurocapilla
Sericornis citreogularis;Sericornis citreogularis;Sericornis citreogularis
Sericornis frontalis;Sericornis frontalis;Sericornis frontalis
Sericornis magnirostra;Sericornis magnirostra;Sericornis magnirostra
Setophaga ruticilla;Setophaga ruticilla;Setophaga ruticilla
Sialia mexicana;Sialia mexicana;Sialia mexicana
Sialia sialis;Sialia sialis;Sialia sialis
Sitta carolinensis;Sitta carolinensis;Sitta carolinensis
Sitta europaea;Sitta arctica;Sitta europaea
Sitta frontalis;Sitta frontalis;Sitta frontalis
Smicrornis brevirostris;Smicrornis brevirostris;Smicrornis brevirostris
Sphecotheres vieilloti;Sphecotheres vieilloti;Sphecotheres vieilloti
Stagonopleura guttata;Stagonopleura guttata;Stagonopleura guttata
Strepera graculina;Strepera graculina;Strepera graculina
Strophocincla cachinnans;Montecincla cachinnans;Montecincla cachinnans
Sylvia atricapilla;Sylvia atricapilla;Sylvia atricapilla
Taeniopygia guttata;Taeniopygia castanotis;Taeniopygia guttata
Tarsiger indicus;Tarsiger indicus;Tarsiger indicus
Tarsiger johnstoniae;Tarsiger johnstoniae;Tarsiger johnstoniae
Terpsiphone paradisi;Terpsiphone affinis;Terpsiphone affinis
Thryomanes bewickii;Thryomanes bewickii;Thryomanes bewickii
Tregellasia capito;Tregellasia capito;Tregellasia capito
Troglodytes troglodytes;Troglodytes hiemalis;Troglodytes hiemalis
Turdoides affinis;Turdoides affinis;Argya affinis
Turdoides striata;Turdoides somervillei;Argya striata
Turdus merula;Turdus mandarinus;Turdus mandarinus
Turdus philomelos;Turdus philomelos;Turdus philomelos
Tyrannus vociferans;Tyrannus vociferans;Tyrannus vociferans
Vermivora luciae;Leiothlypis luciae;Leiothlypis luciae
Vireo gilvus;Vireo gilvus;Vireo gilvus
Vireo olivaceus;Vireo chivi;Vireo chivi
Vireo philadelphicus;Vireo philadelphicus;Vireo philadelphicus
Vireo solitarius;Vireo solitarius;Vireo solitarius
Xanthotis macleayanus;Xanthotis macleayanus;Xanthotis macleayanus
Yuhina brunneiceps;Yuhina brunneiceps;Yuhina brunneiceps
Zoothera lunulata;Zoothera lunulata;Zoothera lunulata
Zosterops japonicus;Zosterops japonicus;Zosterops japonicus
Zosterops lateralis;Zosterops lateralis;Zosterops lateralis
Zosterops luteus;Zosterops luteus;Zosterops luteus
Zosterops palpebrosus;Zosterops auriventer;Zosterops auriventer
